Name,BIC Status,Created,Logo,Sectors,Space Connection,Website
Active Aerogels,Alumni,"June 21, 2022 10:30 AM",Startup%20Catalogue%202022%202a308138144843dc9ba94daaa10b1962/st_logo_active-aerogels_400__240.png,Infrastructure & Smart Cities,ESA Technology,www.activeaerogels.com
Airborne Projects,Alumni,"June 21, 2022 10:31 AM",Startup%20Catalogue%202022%202a308138144843dc9ba94daaa10b1962/st_logo_airborne-projects_400__240.png,"Infrastructure & Smart Cities, Transport & Logistics","Galileo GNSS, RTK",www.airborneprojects.com
Bluecover,Alumni,"June 21, 2022 10:31 AM",Startup%20Catalogue%202022%202a308138144843dc9ba94daaa10b1962/st_logo_bluecover_400__240.png,Media/Culture & Sport,Galileo GNSS,www.bluecover.pt
Bold Robotics,Alumni,"June 21, 2022 10:31 AM",Startup%20Catalogue%202022%202a308138144843dc9ba94daaa10b1962/st_logo_bold_robotics_400__240.png,"Energy, Environment/Wild Life & Natural Resources",Copernicus EO,www.boldrobotics.pt
Cityoo,Alumni,"June 21, 2022 10:31 AM",Startup%20Catalogue%202022%202a308138144843dc9ba94daaa10b1962/st_logo_cityoo_400__240.png,Infrastructure & Smart Cities,Copernicus EO,www.cityoo.tech
Coastal-e Solutions,Incubating,"June 21, 2022 9:08 AM",Startup%20Catalogue%202022%202a308138144843dc9ba94daaa10b1962/st_logo_coastal-e_332__204.png,Maritime & Aquatic,,www.coastal-e.pt
Connect Robotics,Alumni,"June 21, 2022 10:34 AM",Startup%20Catalogue%202022%202a308138144843dc9ba94daaa10b1962/st_logo_connect-robotics_400__240.png,"Infrastructure & Smart Cities, Transport & Logistics","Galileo GNSS, RTK",www.connect-robotics.com
Cosmos Pics,Incubating,"June 21, 2022 9:15 AM",Startup%20Catalogue%202022%202a308138144843dc9ba94daaa10b1962/st_logo_cosmos_pics__536_249.png,Education & Training,,www.cosmos.pics
CybELE,Alumni,"June 21, 2022 10:31 AM",Startup%20Catalogue%202022%202a308138144843dc9ba94daaa10b1962/st_logo_cybele_400__240.png,"Environment/Wild Life & Natural Resources, Safety & Security",Copernicus EO,www.cybele.space
D-Orbit,Alumni,"June 21, 2022 10:36 AM",Startup%20Catalogue%202022%202a308138144843dc9ba94daaa10b1962/st_logo_d-orbit_400__240.png,New Space,,www.dorbit.space
DALMA,Alumni,"June 21, 2022 10:35 AM",Startup%20Catalogue%202022%202a308138144843dc9ba94daaa10b1962/st_logo_dalma_systems_400__240.png,Transport & Logistics,Galileo GNSS,www.dalmasystems.com
Delox,Alumni,"June 21, 2022 10:35 AM",Startup%20Catalogue%202022%202a308138144843dc9ba94daaa10b1962/st_logo_delox_400__240.png,"Health, New Space, Safety & Security",,www.delox.pt
ENARTIN,Incubating,"June 21, 2022 9:18 AM",Startup%20Catalogue%202022%202a308138144843dc9ba94daaa10b1962/st_logo_enartin_352_233.png,Food & Agriculture,"Copernicus EO, Galileo GNSS",
Eptune Engineering,Incubating,"June 21, 2022 9:48 AM",Startup%20Catalogue%202022%202a308138144843dc9ba94daaa10b1962/st_logo_eptune_400__240.jpg,"Energy, Infrastructure & Smart Cities",ESA Technology,www.eptune-engineering.com
Eye2Map,Alumni,"June 21, 2022 10:36 AM",Startup%20Catalogue%202022%202a308138144843dc9ba94daaa10b1962/st_logo_eye2map_400__240.png,"Food & Agriculture, Infrastructure & Smart Cities","Galileo GNSS, RTK",www.eye2map.com
Fibersail,Alumni,"June 21, 2022 10:36 AM",Startup%20Catalogue%202022%202a308138144843dc9ba94daaa10b1962/st_logo_fibersail_400__240.png,"Energy, Environment/Wild Life & Natural Resources",Copernicus EO,www.fibersail.com
Field,Incubating,"June 21, 2022 9:50 AM",Startup%20Catalogue%202022%202a308138144843dc9ba94daaa10b1962/st_logo_field_400__240.jpg,Media/Culture & Sport,Galileo GNSS,www.field.pt
Findster,Alumni,"June 21, 2022 10:36 AM",Startup%20Catalogue%202022%202a308138144843dc9ba94daaa10b1962/st_logo_findster_400__240.png,"Health, Safety & Security",Galileo GNSS,www.getfindster.com
Fregata Space,Incubating,"June 21, 2022 9:52 AM",Startup%20Catalogue%202022%202a308138144843dc9ba94daaa10b1962/st_logo_fregata_400__240.jpg,"Environment/Wild Life & Natural Resources, Maritime & Aquatic",Copernicus EO,www.fregataspace.com
GasExpress,Incubating,"June 21, 2022 9:56 AM",Startup%20Catalogue%202022%202a308138144843dc9ba94daaa10b1962/st_logo_gasExpress_400__240.jpg,"Infrastructure & Smart Cities, Transport & Logistics","Copernicus EO, Galileo GNSS",
Greenfika,Alumni,"June 21, 2022 10:53 AM",Startup%20Catalogue%202022%202a308138144843dc9ba94daaa10b1962/st_logo_greenfika_400__240.png,"Food & Agriculture, Media/Culture & Sport, Non-space",Copernicus EO,www.greenfika.com
InanoE,Alumni,"June 21, 2022 10:54 AM",Startup%20Catalogue%202022%202a308138144843dc9ba94daaa10b1962/st_logo_inanoe_400__240.png,Energy,ESA Technology,www.inanoe.com
iTrack Solutions,Alumni,"June 21, 2022 10:54 AM",Startup%20Catalogue%202022%202a308138144843dc9ba94daaa10b1962/st_logo_i-track-solutions_400__240.png,"Aviation, Safety & Security",ESA Technology,www.itrack.solutions
Kinetikos,Alumni,"June 21, 2022 10:54 AM",Startup%20Catalogue%202022%202a308138144843dc9ba94daaa10b1962/st_logo_kinetikos_400__240.png,Health,Galileo GNSS,www.kinetikos.io
Lisboa Horizontal,Alumni,"June 21, 2022 10:53 AM",Startup%20Catalogue%202022%202a308138144843dc9ba94daaa10b1962/st_logo_lisboa-horizontal_400__240.png,"Infrastructure & Smart Cities, Media/Culture & Sport, Tourism",Copernicus EO,www.horizontalcities.com
Localista,Alumni,"June 21, 2022 10:54 AM",Startup%20Catalogue%202022%202a308138144843dc9ba94daaa10b1962/st_logo_localista_new_400__220.png,Infrastructure & Smart Cities,Copernicus EO,www.localista.tech
