Name,BIC Status,Created,Sectors,Space Connection,Website
Active Aerogels,Alumni,"June 21, 2022 10:30 AM",Infrastructure & Smart Cities,ESA Technology,https://www.activeaerogels.com/
Airborne Projects,Alumni,"June 21, 2022 10:31 AM","Infrastructure & Smart Cities, Transport & Logistics","Galileo GNSS, RTK",www.airborneprojects.com
Bluecover,Alumni,"June 21, 2022 10:31 AM",Media/Culture & Sport,Galileo GNSS,www.bluecover.pt
Bold Robotics,Alumni,"June 21, 2022 10:31 AM","Energy, Environment/Wild Life & Natural Resources",Copernicus EO,www.boldrobotics.pt
Cityoo,Alumni,"June 21, 2022 10:31 AM",Infrastructure & Smart Cities,Copernicus EO,www.cityoo.tech
Coastal-e Solutions,Incubating,"June 21, 2022 9:08 AM",Maritime & Aquatic,,www.coastal-e.pt
Connect Robotics,Alumni,"June 21, 2022 10:34 AM","Infrastructure & Smart Cities, Transport & Logistics","Galileo GNSS, RTK",www.connect-robotics.com
Cosmos Pics,Incubating,"June 21, 2022 9:15 AM",Education & Training,,www.cosmos.pics
CybELE,Alumni,"June 21, 2022 10:31 AM","Environment/Wild Life & Natural Resources, Safety & Security",Copernicus EO,www.cybele.space
D-Orbit,Alumni,"June 21, 2022 10:36 AM",New Space,,www.dorbit.space
DALMA,Alumni,"June 21, 2022 10:35 AM",Transport & Logistics,Galileo GNSS,www.dalmasystems.com
Delox,Alumni,"June 21, 2022 10:35 AM","Health, New Space, Safety & Security",,www.delox.pt
ENARTIN,Incubating,"June 21, 2022 9:18 AM",Food & Agriculture,"Copernicus EO, Galileo GNSS",https://enartin.com/
Eptune Engineering,Incubating,"June 21, 2022 9:48 AM","Energy, Infrastructure & Smart Cities",ESA Technology,www.eptune-engineering.com
Eye2Map,Alumni,"June 21, 2022 10:36 AM","Food & Agriculture, Infrastructure & Smart Cities","Galileo GNSS, RTK",www.eye2map.com
Fibersail,Alumni,"June 21, 2022 10:36 AM","Energy, Environment/Wild Life & Natural Resources",Copernicus EO,www.fibersail.com
Field,Incubating,"June 21, 2022 9:50 AM",Media/Culture & Sport,Galileo GNSS,www.field.pt
Findster,Alumni,"June 21, 2022 10:36 AM","Health, Safety & Security",Galileo GNSS,www.getfindster.com
Fregata Space,Incubating,"June 21, 2022 9:52 AM","Environment/Wild Life & Natural Resources, Maritime & Aquatic",Copernicus EO,www.fregataspace.com
GasExpress,Incubating,"June 21, 2022 9:56 AM","Infrastructure & Smart Cities, Transport & Logistics","Copernicus EO, Galileo GNSS",
Greenfika,Alumni,"June 21, 2022 10:53 AM","Food & Agriculture, Media/Culture & Sport, Non-space",Copernicus EO,www.greenfika.com
InanoE,Alumni,"June 21, 2022 10:54 AM",Energy,ESA Technology,www.inanoe.com
iTrack Solutions,Alumni,"June 21, 2022 10:54 AM","Aviation, Safety & Security",ESA Technology,www.itrack.solutions
Kinetikos,Alumni,"June 21, 2022 10:54 AM",Health,Galileo GNSS,www.kinetikos.io
Lisboa Horizontal,Alumni,"June 21, 2022 10:53 AM","Infrastructure & Smart Cities, Media/Culture & Sport, Tourism",Copernicus EO,www.horizontalcities.com
Localista,Alumni,"June 21, 2022 10:54 AM",Infrastructure & Smart Cities,Copernicus EO,www.localista.tech
LS Engenharia,Incubating,"June 21, 2022 10:03 AM","Environment/Wild Life & Natural Resources, Maritime & Aquatic","Copernicus EO, Galileo GNSS",www.lstopografia.com
Matereo,Alumni,"June 21, 2022 10:54 AM","Infrastructure & Smart Cities, Maritime & Aquatic","Copernicus EO, Galileo GNSS",www.matereo.com
Mobleet,Incubating,"June 21, 2022 10:08 AM",Transport & Logistics,"Copernicus EO, Galileo GNSS",www.mobleet.pt
mOceanSense,Alumni,"June 21, 2022 11:23 AM","Maritime & Aquatic, Media/Culture & Sport",Galileo GNSS,www.moceansense.com
Neuraspace,Incubating,"June 21, 2022 10:11 AM",New Space,,www.neuraspace.com
NinaSpace,Alumni,"June 21, 2022 11:24 AM","Environment/Wild Life & Natural Resources, Safety & Security",Copernicus EO,www.nina.space
OWL,Incubating,"June 21, 2022 10:11 AM",Infrastructure & Smart Cities,"Copernicus EO, Galileo GNSS",www.ourwatchleads.com
ParqIST,Alumni,"June 21, 2022 11:24 AM",Infrastructure & Smart Cities,Galileo GNSS,www.parqist.com
PavNext,Alumni,"June 21, 2022 11:24 AM","Infrastructure & Smart Cities, Safety & Security",Tech Transfer,www.pavnext.com
SpaceLayer,Alumni,"June 21, 2022 11:24 AM","Health, Tourism",Copernicus EO,www.spacelayertech.com
SpacEngineer,Incubating,"June 21, 2022 10:11 AM","Health, New Space",Spin In,http://spacengineer.com
Spaceway,Incubating,"June 21, 2022 10:12 AM","Education & Training, Food & Agriculture, New Space",Satellite Communication,www.spaceway.pt
Staruplo,Incubating,"June 21, 2022 10:12 AM","Infrastructure & Smart Cities, Tourism",Copernicus EO,www.staruplo.com
Stratio,Alumni,"June 21, 2022 11:24 AM",Transport & Logistics,Galileo GNSS,www.stratioautomotive.com
Teromovigo,Incubating,"June 21, 2022 10:13 AM",Environment/Wild Life & Natural Resources,Galileo GNSS,www.teromovigo.com
Tesselo,Alumni,"June 21, 2022 11:24 AM","Environment/Wild Life & Natural Resources, Food & Agriculture",Copernicus EO,www.tesselo.com
The Loop,Alumni,"June 21, 2022 10:54 AM","Infrastructure & Smart Cities, Safety & Security","Copernicus EO, Galileo GNSS",www.jacob.theloop.pt
Theia,Alumni,"June 21, 2022 11:24 AM","Infrastructure & Smart Cities, Media/Culture & Sport","Copernicus EO, Other EO",www.theia.pt
ViBo Health,Incubating,"June 21, 2022 10:13 AM",Health,ESA Technology,www.vibo.health
Waterdog,Alumni,"June 21, 2022 11:30 AM","Aviation, Infrastructure & Smart Cities","Copernicus EO, Galileo GNSS",www.waterdog.mobi
